Catalog#,Artist,Title,Query_Spotify,Spotify_Album_Art_URL,Spotify_Artist_URL,Spotify_Album_URL,Trade_or_Sell,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Low,Median,High,Collection Notes,Artist Collection,Last modified time
"VMP-E065, 19075810841",Clipse,Lord Willin',,https://i.scdn.co/image/ab67616d0000b27395bf7f7dac7b61a95d47f07e,https://open.spotify.com/artist/2J257euzcjnDLipsyJH3F2,https://open.spotify.com/album/1Q83nQO2QG81TVa10hW7LX,,"Star Trak Entertainment, Star Trak Entertainment, Sony Music Commercial Music Group","2xLP, Album, Club, RE, Gre",,,11978254,Uncategorized,2018-10-21 20:04,,,,,,2/4/2024 6:52pm
"RCV1 607300, 081227909437",The Stooges,The Stooges (John Cale Mix),,https://i.scdn.co/image/ab67616d0000b273002d4aa00a80e1be587cef7e,https://open.spotify.com/artist/4BFMTELQyWJU1SwqcXMBm3,https://open.spotify.com/album/0Z1Y5L90NjqUD351YUQWdA,checked,"Elektra, Elektra","LP, Album, Club, RE, RM, Red",,,15081560,Uncategorized,2020-04-10 00:05,,,,,,2/4/2024 6:49pm
RRR0009,Slim Richey's Jazz Grass,Jazz Grass,,https://i.scdn.co/image/ab67616d0000b273011b1ea3348e5a603b193f22,https://open.spotify.com/artist/2IU5UBup85LmAXh5U36DeC,https://open.spotify.com/album/7qf9ljSnYDWTlzXyjYFNzt,,Ridge Runner,"LP, Album",5,,3583958,Bluegrass,2018-10-21 21:34,,,,,,2/4/2024 6:56pm
B0029785-01,Loretta Lynn,Coal Miner’s Daughter,,https://i.scdn.co/image/ab67616d0000b273105efc7e27696434d265db1b,https://open.spotify.com/artist/1FE0rls8gfQT3laAeRYNgl,https://open.spotify.com/album/2SayIIdZkrtb9I4BbdnyOr,,"MCA Nashville, Universal Music Special Markets, Decca","LP, Album, Club, RE, RM, Blu",,,13467992,Uncategorized,2019-07-17 16:25,,,,,,2/4/2024 6:43pm
"MOVLP008, 88697335701",Johnny Cash,16 Biggest Hits,,https://i.scdn.co/image/ab67616d0000b273109af4f708914d8501aa38ea,https://open.spotify.com/artist/0rvjqX7ttXeg3mTy8Xscbt,https://open.spotify.com/album/0G9V1emv9kwC67rnLXLl5m,,"Music On Vinyl, Columbia, Legacy","LP, Comp, RP, 180",,,2048682,Uncategorized,2018-10-24 02:15,,,,,,2/4/2024 6:27pm
HUB007-1,Dawes,We're All Gonna Die,,https://i.scdn.co/image/ab67616d0000b273111c8b02f6f3235de75f617e,https://open.spotify.com/artist/0CDUUM6KNRvgBFYIbWxJwV,https://open.spotify.com/album/6bSJPJU1SRxm9RQ4Ox5sRe,,HUB Records (7),"LP, Album, Ltd, Mar",,,9049062,Uncategorized,2018-10-24 01:55,,,,,,2/4/2024 6:53pm
19439978091,Willie Nelson,Willie Nelson Live At Budokan,,https://i.scdn.co/image/ab67616d0000b273135f35febd52d7156e42cfc3,https://open.spotify.com/artist/5W5bDNCqJ1jbCgTxDD0Cb3,https://open.spotify.com/album/1rXXez3sVB1qPY8sOoR9yk,,Legacy,"2xLP, RSD, RE",,,25261426,Uncategorized,2023-01-12 17:57,,,,,,2/4/2024 6:29pm
B0017330-01,The Avett Brothers,The Carpenter,,https://i.scdn.co/image/ab67616d0000b273257e4eed50e4d823f8a0dac9,https://open.spotify.com/artist/196lKsA13K3keVXMDFK66q,https://open.spotify.com/album/4RclFqtNPoThUz7327xFbD,,American Recordings,"2xLP, Album",,,3908723,Uncategorized,2018-10-23 03:25,,,,,,2/4/2024 6:23pm
MCA2-8027,Lynyrd Skynyrd,Southern By The Grace Of God: Lynyrd Skynyrd Tribute Tour 1987,,https://i.scdn.co/image/ab67616d0000b273388f1febb65d980e3b27d1be,https://open.spotify.com/artist/4MVyzYMgTwdP7Z49wAZHx0,https://open.spotify.com/album/7mL3JScQVbiZweP8Wd4om8,checked,MCA Records,"2xLP, Album",,,10457004,Uncategorized,2020-03-17 04:18,,,,,,2/4/2024 6:48pm
1166101289,Sierra Ferrell,Long Time Coming,,https://i.scdn.co/image/ab67616d0000b273407ceaa5d7fdb779e73c48f3,https://open.spotify.com/artist/3oVcF3VdpMuvMvLLyHPT4t,https://open.spotify.com/album/5ZI0k3IynnC5C9QKMmY7cB,,Rounder Records,"LP, Album",,,19924693,Uncategorized,2024-02-03 10:16,,,,,,2/4/2024 6:53pm
